"","Species","Performance metric","MS_Ricker_OM__SS_estM_dynamicCat1_EM_ConstantR"
"1","Pollock","Average Catch",931436.146094414
"2","Pollock","Catch IAV",149604.211513579
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0774760948468773
"5","Pollock","EM: P(Fy > Flimit)",0.0138095238095238
"6","Pollock","EM: P(SSB < SSBlimit)",0.0129365079365079
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0138095238095238
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0129365079365079
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",5.06641976491759
"14","Arrowtooth flounder","Average Catch",147760.385762453
"15","Arrowtooth flounder","Catch IAV",2561.20613842524
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0218503029078285
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.537248795725591
"27","Cod","Average Catch",46139.8529851525
"28","Cod","Catch IAV",7940.45922887979
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00712581136457044
"31","Cod","EM: P(Fy > Flimit)",0.0678571428571429
"32","Cod","EM: P(SSB < SSBlimit)",0.00119047619047619
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0725396825396825
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0678571428571429
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000555555555555556
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0719047619047619
"39","Cod","OM: Terminal SSB Depletion",1.11502228439868
