"","Species","Performance metric","SSM_OM__SS_estM_AvgF_EM_ConstantR"
"1","Pollock","Average Catch",121646.619433346
"2","Pollock","Catch IAV",10094.145993038
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00902774892244118
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00468253968253968
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.81952380952381
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.81484126984127
"13","Pollock","OM: Terminal SSB Depletion",0.384999008358285
"14","Arrowtooth flounder","Average Catch",21905.5482017254
"15","Arrowtooth flounder","Catch IAV",11.5921308955599
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000145746585245291
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.845937313526209
"27","Cod","Average Catch",18542.6330067315
"28","Cod","Catch IAV",3232.90115521345
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00219125959416473
"31","Cod","EM: P(Fy > Flimit)",0.950793650793651
"32","Cod","EM: P(SSB < SSBlimit)",0.182142857142857
"33","Cod","OM: P(Fy > Flimit)",0.946349206349206
"34","Cod","OM: P(SSB < SSBlimit)",1
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0231746031746032
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0187301587301587
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.817857142857143
"39","Cod","OM: Terminal SSB Depletion",0.252460225969745
