"","Species","Performance metric","SSM_OM__SS_estM_Tier1_EM_ConstantR"
"1","Pollock","Average Catch",187415.097592642
"2","Pollock","Catch IAV",457263.230274955
"3","Pollock","P(Closed)",0.014047619047619
"4","Pollock","Avg terminal SSB Relative MSE",9375550933304.95
"5","Pollock","EM: P(Fy > Flimit)",0.000952380952380952
"6","Pollock","EM: P(SSB < SSBlimit)",0.0143650793650794
"7","Pollock","OM: P(Fy > Flimit)",0.0480952380952381
"8","Pollock","OM: P(SSB < SSBlimit)",0.0945238095238095
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000555555555555556
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0476984126984127
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00388888888888889
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0840476190476191
"13","Pollock","OM: Terminal SSB Depletion",0.36135504854791
"14","Arrowtooth flounder","Average Catch",96800.012865458
"15","Arrowtooth flounder","Catch IAV",1014.15183536549
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0114671795177179
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.485229215356459
"27","Cod","Average Catch",11424.0021716053
"28","Cod","Catch IAV",10875.8458500477
"29","Cod","P(Closed)",0.136587301587302
"30","Cod","Avg terminal SSB Relative MSE",0.555925280195641
"31","Cod","EM: P(Fy > Flimit)",0.00492063492063492
"32","Cod","EM: P(SSB < SSBlimit)",0.113015873015873
"33","Cod","OM: P(Fy > Flimit)",0.000634920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.107460317460317
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0046031746031746
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000317460317460317
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00984126984126984
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00428571428571429
"39","Cod","OM: Terminal SSB Depletion",0.470083078644369
