"","Species","Performance metric","SSM_OM__SS_estM_dynamicCat1_EM_ConstantR"
"1","Pollock","Average Catch",121326.990044778
"2","Pollock","Catch IAV",8514.00678251419
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0130739186769498
"5","Pollock","EM: P(Fy > Flimit)",0.00246031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0.360952380952381
"8","Pollock","OM: P(SSB < SSBlimit)",0.00166666666666667
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.358492063492063
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00158730158730159
"13","Pollock","OM: Terminal SSB/SSBtarget",0.453064145279769
"14","Arrowtooth flounder","Average Catch",124546.781406823
"15","Arrowtooth flounder","Catch IAV",2918.43371262396
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0216357291315009
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.350272678857469
"27","Cod","Average Catch",12013.6390535106
"28","Cod","Catch IAV",894.212212936882
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0113606164773817
"31","Cod","EM: P(Fy > Flimit)",0.000476190476190476
"32","Cod","EM: P(SSB < SSBlimit)",0.0714285714285714
"33","Cod","OM: P(Fy > Flimit)",0.000238095238095238
"34","Cod","OM: P(SSB < SSBlimit)",0.0714285714285714
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000396825396825397
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000158730158730159
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB/SSBtarget",0.484113964976297
