"","Species","Performance metric","SSM_OM__SS_estM_dynamicTier1_EM_ConstantR"
"1","Pollock","Average Catch",127939.262680607
"2","Pollock","Catch IAV",14878.0967462704
"3","Pollock","P(Closed)",0.00126984126984127
"4","Pollock","Avg terminal SSB Relative MSE",0.0368859708432466
"5","Pollock","EM: P(Fy > Flimit)",7.93650793650794e-05
"6","Pollock","EM: P(SSB < SSBlimit)",0.00126984126984127
"7","Pollock","OM: P(Fy > Flimit)",0.0423809523809524
"8","Pollock","OM: P(SSB < SSBlimit)",0.0525396825396825
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0423015873015873
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0512698412698413
"13","Pollock","OM: Terminal SSB Depletion",0.341726567812458
"14","Arrowtooth flounder","Average Catch",96666.9267027681
"15","Arrowtooth flounder","Catch IAV",1014.48005652936
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0111540600187438
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.506915294247195
"27","Cod","Average Catch",12825.7414885503
"28","Cod","Catch IAV",1163.09348783378
"29","Cod","P(Closed)",0.0476190476190476
"30","Cod","Avg terminal SSB Relative MSE",0.00368062105996294
"31","Cod","EM: P(Fy > Flimit)",0
"32","Cod","EM: P(SSB < SSBlimit)",0.0238095238095238
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0238095238095238
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.487747095861002
