"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",131625.369309995
"2","Pollock","Catch IAV",15272.589950735
"3","Pollock","P(Closed)",0.00595238095238095
"4","Pollock","Avg terminal SSB Relative MSE",0.0614227429603238
"5","Pollock","EM: P(Fy > Flimit)",0.00246031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",0.000793650793650794
"7","Pollock","OM: P(Fy > Flimit)",0.45
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00261904761904762
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.897698412698413
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000793650793650794
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.330945865887399
"14","Arrowtooth flounder","Average Catch",99546.611309847
"15","Arrowtooth flounder","Catch IAV",506.983637251429
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.14221504038475
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",1
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",2
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.472676433124339
"27","Cod","Average Catch",20071.8039898393
"28","Cod","Catch IAV",13668.7705949841
"29","Cod","P(Closed)",0.0900793650793651
"30","Cod","Avg terminal SSB Relative MSE",0.127514762959077
"31","Cod","EM: P(Fy > Flimit)",0.110555555555556
"32","Cod","EM: P(SSB < SSBlimit)",0.0696825396825397
"33","Cod","OM: P(Fy > Flimit)",0.421507936507936
"34","Cod","OM: P(SSB < SSBlimit)",0.0561904761904762
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.144444444444444
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.766349206349206
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0137301587301587
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000238095238095238
"39","Cod","OM: Terminal SSB Depletion",0.206914307008977
