"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_Cat1_EM_ConstantR"
"1","Pollock","Average Catch",287315.646736425
"2","Pollock","Catch IAV",30251.4675535504
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0550820642423858
"5","Pollock","EM: P(Fy > Flimit)",0.00357142857142857
"6","Pollock","EM: P(SSB < SSBlimit)",0.000873015873015873
"7","Pollock","OM: P(Fy > Flimit)",0.481190476190476
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000634920634920635
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.478253968253968
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000873015873015873
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",1.47134752221057
"14","Arrowtooth flounder","Average Catch",139556.120420342
"15","Arrowtooth flounder","Catch IAV",496.097890079344
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.139322692891384
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.643265244221059
"27","Cod","Average Catch",42185.9795593477
"28","Cod","Catch IAV",11315.5533826155
"29","Cod","P(Closed)",0.0321428571428571
"30","Cod","Avg terminal SSB Relative MSE",0.136638663152019
"31","Cod","EM: P(Fy > Flimit)",0.396984126984127
"32","Cod","EM: P(SSB < SSBlimit)",0.0593650793650794
"33","Cod","OM: P(Fy > Flimit)",0.952857142857143
"34","Cod","OM: P(SSB < SSBlimit)",0.106666666666667
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.555873015873016
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000714285714285714
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.048015873015873
"39","Cod","OM: Terminal SSB Depletion",0.554640621546912
