"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",162486.435145462
"2","Pollock","Catch IAV",24621.8356914737
"3","Pollock","P(Closed)",0.00809523809523809
"4","Pollock","Avg terminal SSB Relative MSE",0.0200526128109771
"5","Pollock","EM: P(Fy > Flimit)",0.119444444444444
"6","Pollock","EM: P(SSB < SSBlimit)",0.0019047619047619
"7","Pollock","OM: P(Fy > Flimit)",0.906111111111111
"8","Pollock","OM: P(SSB < SSBlimit)",0.0338095238095238
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00174603174603175
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.788412698412698
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.031984126984127
"13","Pollock","OM: Terminal SSB Depletion",0.339024303113211
"14","Pollock","Average M",0.31620279337546
"15","Pollock","M var",0.000346557941535059
"16","Pollock","Min M",0.265795116811975
"17","Pollock","Max M",0.437821596519933
"18","Arrowtooth flounder","Average Catch",84908.4217703315
"19","Arrowtooth flounder","Catch IAV",1762.37142076904
"20","Arrowtooth flounder","P(Closed)",0
"21","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00356133301591672
"22","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"23","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"24","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0845238095238095
"25","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"27","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0845238095238095
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"29","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: Terminal SSB Depletion",0.426400956975844
"31","Arrowtooth flounder","Average M",0.189637109896055
"32","Arrowtooth flounder","M var",0.000104215719979795
"33","Arrowtooth flounder","Min M",0.183121917603419
"34","Arrowtooth flounder","Max M",0.229041224342072
"35","Cod","Average Catch",25974.6937203133
"36","Cod","Catch IAV",6868.22433084155
"37","Cod","P(Closed)",0.0167460317460317
"38","Cod","Avg terminal SSB Relative MSE",0.0231248769649054
"39","Cod","EM: P(Fy > Flimit)",0.0241269841269841
"40","Cod","EM: P(SSB < SSBlimit)",0.00103174603174603
"41","Cod","OM: P(Fy > Flimit)",0.000158730158730159
"42","Cod","OM: P(SSB < SSBlimit)",7.93650793650794e-05
"43","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.023968253968254
"44","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"45","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00103174603174603
"46","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.93650793650794e-05
"47","Cod","OM: Terminal SSB Depletion",0.464973044311772
"48","Cod","Average M",0.326062668228817
"49","Cod","M var",0.000116993267566579
"50","Cod","Min M",0.319080857291177
"51","Cod","Max M",0.364125320113679
