"","Species","Performance metric","SS_Ricker_OM__SS_fixM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",352430.004513668
"2","Pollock","Catch IAV",48904.3285002587
"3","Pollock","P(Closed)",0.000396825396825397
"4","Pollock","Avg terminal SSB Relative MSE",0.00441020982148459
"5","Pollock","EM: P(Fy > Flimit)",0.00261904761904762
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0.0969047619047619
"8","Pollock","OM: P(SSB < SSBlimit)",1
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00103174603174603
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0953174603174603
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.999920634920635
"13","Pollock","OM: Terminal SSB Depletion",1.8756285566512
"14","Arrowtooth flounder","Average Catch",122724.905761207
"15","Arrowtooth flounder","Catch IAV",461.608374850962
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0035453494009007
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",1
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.624286025548975
"27","Cod","Average Catch",58546.1106353693
"28","Cod","Catch IAV",16861.4981958695
"29","Cod","P(Closed)",0.0432539682539683
"30","Cod","Avg terminal SSB Relative MSE",0.00404780089075072
"31","Cod","EM: P(Fy > Flimit)",0.0122222222222222
"32","Cod","EM: P(SSB < SSBlimit)",0.028015873015873
"33","Cod","OM: P(Fy > Flimit)",0.0274603174603175
"34","Cod","OM: P(SSB < SSBlimit)",1
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000476190476190476
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0157142857142857
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.971984126984127
"39","Cod","OM: Terminal SSB Depletion",0.76628622369518
