"","Species","Performance metric","SS_Ricker_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",352304.964081778
"2","Pollock","Catch IAV",47962.2840033602
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00459627083521256
"5","Pollock","EM: P(Fy > Flimit)",0.00174603174603175
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.0638888888888889
"8","Pollock","OM: P(SSB < SSBlimit)",1
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00293650793650794
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.127222222222222
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1
"13","Pollock","OM: Terminal SSB Depletion",0.221806363854971
"14","Arrowtooth flounder","Average Catch",122730.031379653
"15","Arrowtooth flounder","Catch IAV",461.449497826803
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00357656643251655
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",1
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.496221266475421
"27","Cod","Average Catch",57987.3515618797
"28","Cod","Catch IAV",15630.1969853516
"29","Cod","P(Closed)",0.00142857142857143
"30","Cod","Avg terminal SSB Relative MSE",0.00403683491785253
"31","Cod","EM: P(Fy > Flimit)",0.0191269841269841
"32","Cod","EM: P(SSB < SSBlimit)",0.000555555555555556
"33","Cod","OM: P(Fy > Flimit)",0.0525396825396825
"34","Cod","OM: P(SSB < SSBlimit)",1
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0368253968253968
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.103650793650794
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.999444444444444
"39","Cod","OM: Terminal SSB Depletion",0.455979011150107
