"","X","Species","Performance.metric","MS_OM__SS_estM_dynamicCat1_EM_ConstantR"
"1",1,"Pollock","Average Catch",498849.652250053
"2",2,"Pollock","Catch IAV",68522.3028853121
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.1274840729857
"5",5,"Pollock","EM: P(Fy > Flimit)",0.0148412698412698
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.00698412698412698
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0.0270634920634921
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0148412698412698
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00357142857142857
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0236507936507937
"13",13,"Pollock","OM: Terminal SSB Depletion",0.678597062269841
"14",14,"Arrowtooth flounder","Average Catch",116796.431423943
"15",15,"Arrowtooth flounder","Catch IAV",2657.75951717118
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0195787846508347
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.430282604378538
"27",27,"Cod","Average Catch",21159.1902026839
"28",28,"Cod","Catch IAV",3037.61108308449
"29",29,"Cod","P(Closed)",0
"30",30,"Cod","Avg terminal SSB Relative MSE",0.019709332676688
"31",31,"Cod","EM: P(Fy > Flimit)",0.0733333333333333
"32",32,"Cod","EM: P(SSB < SSBlimit)",0.0222222222222222
"33",33,"Cod","OM: P(Fy > Flimit)",0
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.0792063492063492
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0733333333333333
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0573015873015873
"39",39,"Cod","OM: Terminal SSB Depletion",0.546401329011391
