"","X","Species","Performance.metric","MS_OM__SS_estM_dynamicTier3_EM_ConstantR"
"1",1,"Pollock","Average Catch",510672.311853037
"2",2,"Pollock","Catch IAV",84583.8401958791
"3",3,"Pollock","P(Closed)",0.00373015873015873
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.11790708851829
"5",5,"Pollock","EM: P(Fy > Flimit)",0.0117460317460317
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.00134920634920635
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0.066984126984127
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0234920634920635
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000396825396825397
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.066031746031746
"13",13,"Pollock","OM: Terminal SSB Depletion",0.594340244651385
"14",14,"Arrowtooth flounder","Average Catch",110563.443334842
"15",15,"Arrowtooth flounder","Catch IAV",1686.62399892285
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0162350053219409
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.459706953636267
"27",27,"Cod","Average Catch",22580.6778041889
"28",28,"Cod","Catch IAV",3397.35406956495
"29",29,"Cod","P(Closed)",0.000158730158730159
"30",30,"Cod","Avg terminal SSB Relative MSE",0.0138389686397234
"31",31,"Cod","EM: P(Fy > Flimit)",0.00373015873015873
"32",32,"Cod","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"33",33,"Cod","OM: P(Fy > Flimit)",0
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.0873809523809524
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00746031746031746
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0873015873015873
"39",39,"Cod","OM: Terminal SSB Depletion",0.505919998124563
