"","X","Species","Performance.metric","MS_OM__SS_fixM_Tier3_EM_ConstantR"
"1",1,"Pollock","Average Catch",297195.633366326
"2",2,"Pollock","Catch IAV",26373.8709050672
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.00800462180828476
"5",5,"Pollock","EM: P(Fy > Flimit)",7.93650793650794e-05
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000158730158730159
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13",13,"Pollock","OM: Terminal SSB Depletion",1.10884041333873
"14",14,"Arrowtooth flounder","Average Catch",101706.893470674
"15",15,"Arrowtooth flounder","Catch IAV",493.313240172599
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.173111096066285
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.49565318288211
"27",27,"Cod","Average Catch",28591.8310563899
"28",28,"Cod","Catch IAV",10727.9757527496
"29",29,"Cod","P(Closed)",0.0571428571428571
"30",30,"Cod","Avg terminal SSB Relative MSE",0.0136567726438338
"31",31,"Cod","EM: P(Fy > Flimit)",0.0253968253968254
"32",32,"Cod","EM: P(SSB < SSBlimit)",0.0514285714285714
"33",33,"Cod","OM: P(Fy > Flimit)",0
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.14468253968254
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0507936507936508
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0932539682539683
"39",39,"Cod","OM: Terminal SSB Depletion",0.381076721842984
