"","X","Species","Performance.metric","MS_Ricker_OM__SS_estM_dynamicCat1_EM_TRUE.regen"
"1",1,"Pollock","Average Catch",1081804.78483231
"2",2,"Pollock","Catch IAV",214464.870324372
"3",3,"Pollock","P(Closed)",0.000873015873015873
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.177856547344114
"5",5,"Pollock","EM: P(Fy > Flimit)",0.0231746031746032
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.0301587301587302
"7",7,"Pollock","OM: P(Fy > Flimit)",0.000317460317460317
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0228571428571429
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0301587301587302
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13",13,"Pollock","OM: Terminal SSB Depletion",3.70944112982088
"14",14,"Arrowtooth flounder","Average Catch",149104.281946488
"15",15,"Arrowtooth flounder","Catch IAV",2331.8901134416
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0187677056556699
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.550394069668078
"27",27,"Cod","Average Catch",45291.0713752429
"28",28,"Cod","Catch IAV",7560.47891921271
"29",29,"Cod","P(Closed)",0
"30",30,"Cod","Avg terminal SSB Relative MSE",0.00852313375365554
"31",31,"Cod","EM: P(Fy > Flimit)",0.060952380952381
"32",32,"Cod","EM: P(SSB < SSBlimit)",0.00119047619047619
"33",33,"Cod","OM: P(Fy > Flimit)",0
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.0724603174603175
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.060952380952381
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000238095238095238
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0715079365079365
"39",39,"Cod","OM: Terminal SSB Depletion",1.11739002930483
