"","Species","Performance metric","MS_Ricker_OM__SS_estM_dynamicTier1_EM"
"1","Pollock","Average Catch",791697.676125493
"2","Pollock","Catch IAV",0.418074567920046
"3","Pollock","P(Closed)",0.0026984126984127
"4","Pollock","Avg terminal SSB Relative MSE",0.195177430523633
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.0026984126984127
"7","Pollock","OM: P(Fy > Flimit)",7.93650793650794e-05
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.93650793650794e-05
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0026984126984127
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",7013730.92688252
"14","Pollock","OM: Terminal SSB",546130.929458033
"15","Pollock","OM: Terminal SSB Depletion",1.8506491156318
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.661549240008951
"17","Arrowtooth flounder","Average Catch",126740.285742724
"18","Arrowtooth flounder","Catch IAV",0.0699553688051717
"19","Arrowtooth flounder","P(Closed)",0
"20","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00470904217254967
"21","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"22","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"23","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Arrowtooth flounder","OM: Terminal B",2398958.16433513
"30","Arrowtooth flounder","OM: Terminal SSB",592851.802441432
"31","Arrowtooth flounder","OM: Terminal SSB Depletion",2.03589883652064
"32","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.5804933941974
"33","Cod","Average Catch",38462.9651857016
"34","Cod","Catch IAV",0.218989574097818
"35","Cod","P(Closed)",0
"36","Cod","Avg terminal SSB Relative MSE",0.015246579987774
"37","Cod","EM: P(Fy > Flimit)",0
"38","Cod","EM: P(SSB < SSBlimit)",0
"39","Cod","OM: P(Fy > Flimit)",0
"40","Cod","OM: P(SSB < SSBlimit)",0.0502380952380952
"41","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0502380952380952
"45","Cod","OM: Terminal B",835683.128818693
"46","Cod","OM: Terminal SSB",432786.488452606
"47","Cod","OM: Terminal SSB Depletion",1.49281898885433
"48","Cod","OM: Terminal SSB Depletion (Dynamic)",0.714925925530474
