"","Species","Performance.metric","SSM_OM__SS_estM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",122513.995072952
"2","Pollock","Catch IAV",10066.051153168
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0082543397424599
"5","Pollock","EM: P(Fy > Flimit)",0.00428571428571429
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.251111111111111
"8","Pollock","OM: P(SSB < SSBlimit)",0.276111111111111
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00515873015873016
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.498809523809524
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.276111111111111
"13","Pollock","OM: Terminal SSB Depletion",0.37495209149322
"14","Arrowtooth flounder","Average Catch",110592.812916471
"15","Arrowtooth flounder","Catch IAV",2076.9040839511
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0152234284897854
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.437836695336552
"27","Cod","Average Catch",14768.1871018941
"28","Cod","Catch IAV",1700.84406443533
"29","Cod","P(Closed)",0.0476190476190476
"30","Cod","Avg terminal SSB Relative MSE",0.00352985402112793
"31","Cod","EM: P(Fy > Flimit)",0.000476190476190476
"32","Cod","EM: P(SSB < SSBlimit)",0.0238095238095238
"33","Cod","OM: P(Fy > Flimit)",0.00333333333333333
"34","Cod","OM: P(SSB < SSBlimit)",0.023968253968254
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000952380952380952
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00666666666666667
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"39","Cod","OM: Terminal SSB Depletion",0.414725197055305
