"","Species","Performance metric","SSM_OM__SS_fixM_Fspr_EM"
"1","Pollock","Average Catch",107715.928025074
"2","Pollock","Catch IAV",0.2657126544516
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.763638793465393
"5","Pollock","Avg terminal SSB relative bias",0.427755151119914
"6","Pollock","Avg SSB Relative MSE",0.766285637158734
"7","Pollock","Avg terminal SSB Relative MSE",0.439089670409005
"8","Pollock","EM: P(Fy > Flimit)",0
"9","Pollock","EM: P(SSB < SSBlimit)",0.000158730158730159
"10","Pollock","OM: P(Fy > Flimit)",0.0299206349206349
"11","Pollock","OM: P(SSB < SSBlimit)",0.0173809523809524
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0299206349206349
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0172222222222222
"16","Pollock","OM: Terminal B",1304635.58909618
"17","Pollock","OM: Terminal SSB",212820.938510974
"18","Pollock","OM: Terminal SSB Depletion",0.453324593342859
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.44364645636613
"20","Pollock","OM: Average SSB Depletion",0.448419925340062
"21","Arrowtooth flounder","Average Catch",72357.9506875418
"22","Arrowtooth flounder","Catch IAV",0.0434004007424539
"23","Arrowtooth flounder","P(Closed)",0
"24","Arrowtooth flounder","Avg SSB relative bias",-0.609799979014704
"25","Arrowtooth flounder","Avg terminal SSB relative bias",0.360109365002878
"26","Arrowtooth flounder","Avg SSB Relative MSE",0.61163853895921
"27","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.361446493433472
"28","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"29","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"31","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Arrowtooth flounder","OM: Terminal B",1723458.73488025
"37","Arrowtooth flounder","OM: Terminal SSB",486343.114548768
"38","Arrowtooth flounder","OM: Terminal SSB Depletion",0.60983102365719
"39","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.610838771261495
"40","Arrowtooth flounder","OM: Average SSB Depletion",0.606583309412616
"41","Cod","Average Catch",18592.8227120758
"42","Cod","Catch IAV",0.231279498775558
"43","Cod","P(Closed)",0
"44","Cod","Avg SSB relative bias",-0.258941011879016
"45","Cod","Avg terminal SSB relative bias",0.418684074041881
"46","Cod","Avg SSB Relative MSE",0.282751309355549
"47","Cod","Avg terminal SSB Relative MSE",0.423246330182058
"48","Cod","EM: P(Fy > Flimit)",0.00857142857142857
"49","Cod","EM: P(SSB < SSBlimit)",0.0662698412698413
"50","Cod","OM: P(Fy > Flimit)",1
"51","Cod","OM: P(SSB < SSBlimit)",0.245873015873016
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.991428571428571
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.179603174603175
"56","Cod","OM: Terminal B",191564.748141311
"57","Cod","OM: Terminal SSB",98819.4527894919
"58","Cod","OM: Terminal SSB Depletion",0.2739181022522
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.271032087694196
"60","Cod","OM: Average SSB Depletion",0.249207668995565
