"","Species","Performance metric","SSM_Ricker_OM__SS_estM_dynamicTier1_EM"
"1","Pollock","Average Catch",252046.877822598
"2","Pollock","Catch IAV",0.281205262617306
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0202020341236705
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0585714285714286
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0585714285714286
"13","Pollock","OM: Terminal B",3285638.44659123
"14","Pollock","OM: Terminal SSB",531964.26586216
"15","Pollock","OM: Terminal SSB Depletion",2.00570367291717
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.56135078313535
"17","Arrowtooth flounder","Average Catch",131212.927746254
"18","Arrowtooth flounder","Catch IAV",0.0741018987022708
"19","Arrowtooth flounder","P(Closed)",0
"20","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00510271212350296
"21","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"22","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"23","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Arrowtooth flounder","OM: Terminal B",2403569.74521713
"30","Arrowtooth flounder","OM: Terminal SSB",589486.858656171
"31","Arrowtooth flounder","OM: Terminal SSB Depletion",0.751394959895282
"32","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.573823067316664
"33","Cod","Average Catch",21267.9386556071
"34","Cod","Catch IAV",0.198093156774964
"35","Cod","P(Closed)",0.0476190476190476
"36","Cod","Avg terminal SSB Relative MSE",0.0199175257914623
"37","Cod","EM: P(Fy > Flimit)",0
"38","Cod","EM: P(SSB < SSBlimit)",0.0238095238095238
"39","Cod","OM: P(Fy > Flimit)",0
"40","Cod","OM: P(SSB < SSBlimit)",0.0238095238095238
"41","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"43","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"44","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"45","Cod","OM: Terminal B",486684.579785312
"46","Cod","OM: Terminal SSB",332455.287066946
"47","Cod","OM: Terminal SSB Depletion",1.13718333136265
"48","Cod","OM: Terminal SSB Depletion (Dynamic)",0.720163438937044
