"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_dynamicCat1_EM"
"1","Pollock","Average Catch",285527.830767822
"2","Pollock","Catch IAV",0.31601677362485
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.14423166906411
"5","Pollock","EM: P(Fy > Flimit)",0.00380952380952381
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.842857142857143
"8","Pollock","OM: P(SSB < SSBlimit)",0.188492063492063
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.839126984126984
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.188492063492063
"13","Pollock","OM: Terminal B",2906258.50072651
"14","Pollock","OM: Terminal SSB",407241.216608807
"15","Pollock","OM: Terminal SSB Depletion",1.53545126305004
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.428089791149907
"17","Arrowtooth flounder","Average Catch",139589.798054767
"18","Arrowtooth flounder","Catch IAV",0.0588120516306281
"19","Arrowtooth flounder","P(Closed)",0
"20","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.138129589177345
"21","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"22","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"23","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Arrowtooth flounder","OM: Terminal B",2320306.8278386
"30","Arrowtooth flounder","OM: Terminal SSB",540536.337916182
"31","Arrowtooth flounder","OM: Terminal SSB Depletion",0.688999718969767
"32","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.526169863765521
"33","Cod","Average Catch",41731.9862184383
"34","Cod","Catch IAV",0.286099076805021
"35","Cod","P(Closed)",0
"36","Cod","Avg terminal SSB Relative MSE",0.157851588180685
"37","Cod","EM: P(Fy > Flimit)",0.388492063492063
"38","Cod","EM: P(SSB < SSBlimit)",0.0331746031746032
"39","Cod","OM: P(Fy > Flimit)",0.999920634920635
"40","Cod","OM: P(SSB < SSBlimit)",0.208174603174603
"41","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"42","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.611428571428571
"43","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00150793650793651
"44","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.176507936507937
"45","Cod","OM: Terminal B",395653.640544889
"46","Cod","OM: Terminal SSB",189574.050157759
"47","Cod","OM: Terminal SSB Depletion",0.648449455565129
"48","Cod","OM: Terminal SSB Depletion (Dynamic)",0.411764926826744
