"","Species","Performance.metric","SS_OM__SS_fixM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",150641.581982382
"2","Pollock","Catch IAV",18500.9431800696
"3","Pollock","P(Closed)",0.0046031746031746
"4","Pollock","Avg terminal SSB Relative MSE",0.00516954323249329
"5","Pollock","EM: P(Fy > Flimit)",0.00103174603174603
"6","Pollock","EM: P(SSB < SSBlimit)",0.000952380952380952
"7","Pollock","OM: P(Fy > Flimit)",0.0774603174603175
"8","Pollock","OM: P(SSB < SSBlimit)",0.0366666666666667
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00198412698412698
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.15484126984127
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0357142857142857
"13","Pollock","OM: Terminal SSB Depletion",0.410357482053224
"14","Arrowtooth flounder","Average Catch",86367.0307737004
"15","Arrowtooth flounder","Catch IAV",611.604423724672
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00323494781070581
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.42140500244113
"27","Cod","Average Catch",27151.3402609177
"28","Cod","Catch IAV",11019.2733402721
"29","Cod","P(Closed)",0.0579365079365079
"30","Cod","Avg terminal SSB Relative MSE",0.00287625317481317
"31","Cod","EM: P(Fy > Flimit)",0.0137301587301587
"32","Cod","EM: P(SSB < SSBlimit)",0.0519047619047619
"33","Cod","OM: P(Fy > Flimit)",0.0307142857142857
"34","Cod","OM: P(SSB < SSBlimit)",0.0692857142857143
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0265873015873016
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0605555555555556
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0173809523809524
"39","Cod","OM: Terminal SSB Depletion",0.38427240395389
