"","Species","Performance metric","SS_Ricker_OM__SS_estM_AvgF_EM"
"1","Pollock","Average Catch",292616.520493392
"2","Pollock","Catch IAV",0.316890775370949
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.812969194059598
"5","Pollock","Avg terminal SSB relative bias",0.70365898514547
"6","Pollock","Avg SSB Relative MSE",0.81596383812202
"7","Pollock","Avg terminal SSB Relative MSE",0.733613142397475
"8","Pollock","EM: P(Fy > Flimit)",0
"9","Pollock","EM: P(SSB < SSBlimit)",0
"10","Pollock","OM: P(Fy > Flimit)",0
"11","Pollock","OM: P(SSB < SSBlimit)",0
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"16","Pollock","OM: Terminal B",4770771.1898342
"17","Pollock","OM: Terminal SSB",515809.280813637
"18","Pollock","OM: Terminal SSB Depletion",2.26081889643502
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.529770906958737
"20","Pollock","OM: Average SSB Depletion",2.0127579702784
"21","Arrowtooth flounder","Average Catch",27978.2053074516
"22","Arrowtooth flounder","Catch IAV",0.0253802094227396
"23","Arrowtooth flounder","P(Closed)",0
"24","Arrowtooth flounder","Avg SSB relative bias",-0.481102159000616
"25","Arrowtooth flounder","Avg terminal SSB relative bias",-0.0207514479872346
"26","Arrowtooth flounder","Avg SSB Relative MSE",0.483492878637893
"27","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0224193429150816
"28","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"29","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"31","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Arrowtooth flounder","OM: Terminal B",2167861.09950265
"37","Arrowtooth flounder","OM: Terminal SSB",1186193.42096775
"38","Arrowtooth flounder","OM: Terminal SSB Depletion",1.17279628713775
"39","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.911310103872614
"40","Arrowtooth flounder","OM: Average SSB Depletion",1.1088931838393
"41","Cod","Average Catch",47604.3255578006
"42","Cod","Catch IAV",0.25833678521281
"43","Cod","P(Closed)",0
"44","Cod","Avg SSB relative bias",-0.609861372837281
"45","Cod","Avg terminal SSB relative bias",-0.0895098329037291
"46","Cod","Avg SSB Relative MSE",0.615192084909357
"47","Cod","Avg terminal SSB Relative MSE",0.102045431755554
"48","Cod","EM: P(Fy > Flimit)",0.201269841269841
"49","Cod","EM: P(SSB < SSBlimit)",0.04
"50","Cod","OM: P(Fy > Flimit)",0.103412698412698
"51","Cod","OM: P(SSB < SSBlimit)",0.0457142857142857
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.129285714285714
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0314285714285714
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000873015873015873
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00658730158730159
"56","Cod","OM: Terminal B",869046.238898861
"57","Cod","OM: Terminal SSB",396768.159991138
"58","Cod","OM: Terminal SSB Depletion",1.05270961599682
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.622986489233478
"60","Cod","OM: Average SSB Depletion",0.929446375228011
