"","Species","Performance metric","SS_Ricker_OM__SS_estM_Cat1_EM"
"1","Pollock","Average Catch",320415.128875697
"2","Pollock","Catch IAV",0.368746115634556
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.785382576263587
"5","Pollock","EM: P(Fy > Flimit)",0.0379365079365079
"6","Pollock","EM: P(SSB < SSBlimit)",0.0265873015873016
"7","Pollock","OM: P(Fy > Flimit)",0.923174603174603
"8","Pollock","OM: P(SSB < SSBlimit)",0.00357142857142857
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.885238095238095
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.023015873015873
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal B",3857294.37537368
"14","Pollock","OM: Terminal SSB",322523.459025717
"15","Pollock","OM: Terminal SSB Depletion",1.4136126359355
"16","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.330075178319216
"17","Arrowtooth flounder","Average Catch",123136.906024879
"18","Arrowtooth flounder","Catch IAV",0.0673897219421317
"19","Arrowtooth flounder","P(Closed)",0
"20","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.363764519205375
"21","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"22","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"23","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"26","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"27","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"28","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"29","Arrowtooth flounder","OM: Terminal B",1728184.34669108
"30","Arrowtooth flounder","OM: Terminal SSB",677724.871215596
"31","Arrowtooth flounder","OM: Terminal SSB Depletion",0.670069400978692
"32","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.520293730342232
"33","Cod","Average Catch",46855.2634438783
"34","Cod","Catch IAV",0.26142092153754
"35","Cod","P(Closed)",0
"36","Cod","Avg terminal SSB Relative MSE",0.374914446447967
"37","Cod","EM: P(Fy > Flimit)",0.104047619047619
"38","Cod","EM: P(SSB < SSBlimit)",0.0576190476190476
"39","Cod","OM: P(Fy > Flimit)",0.00111111111111111
"40","Cod","OM: P(SSB < SSBlimit)",0.0732539682539683
"41","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.103095238095238
"42","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000158730158730159
"43","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0026984126984127
"44","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0183333333333333
"45","Cod","OM: Terminal B",867364.405866542
"46","Cod","OM: Terminal SSB",394843.687125173
"47","Cod","OM: Terminal SSB Depletion",1.04760544714736
"48","Cod","OM: Terminal SSB Depletion (Dynamic)",0.620271911445902
