"","Species","Performance metric","SS_Ricker_OM__SS_fixM_Tier3_EM"
"1","Pollock","Average Catch",320328.985540791
"2","Pollock","Catch IAV",0.349779695999528
"3","Pollock","P(Closed)",0.000238095238095238
"4","Pollock","Avg SSB relative bias",-0.890974565322142
"5","Pollock","Avg terminal SSB relative bias",0.044436138240701
"6","Pollock","Avg SSB Relative MSE",0.891870245573222
"7","Pollock","Avg terminal SSB Relative MSE",0.0826798693577936
"8","Pollock","EM: P(Fy > Flimit)",0.000952380952380952
"9","Pollock","EM: P(SSB < SSBlimit)",0
"10","Pollock","OM: P(Fy > Flimit)",0.0833333333333333
"11","Pollock","OM: P(SSB < SSBlimit)",0
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00158730158730159
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.166349206349206
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"16","Pollock","OM: Terminal B",4550801.55204705
"17","Pollock","OM: Terminal SSB",448928.818004275
"18","Pollock","OM: Terminal SSB Depletion",1.96767835060534
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.46164232331831
"20","Pollock","OM: Average SSB Depletion",1.67694101484287
"21","Arrowtooth flounder","Average Catch",122891.014314521
"22","Arrowtooth flounder","Catch IAV",0.058925003355236
"23","Arrowtooth flounder","P(Closed)",0
"24","Arrowtooth flounder","Avg SSB relative bias",-0.595540931080188
"25","Arrowtooth flounder","Avg terminal SSB relative bias",0.0309226396343878
"26","Arrowtooth flounder","Avg SSB Relative MSE",0.597658754570534
"27","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0329929100685307
"28","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"29","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"31","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Arrowtooth flounder","OM: Terminal B",1722608.15581707
"37","Arrowtooth flounder","OM: Terminal SSB",673384.434758388
"38","Arrowtooth flounder","OM: Terminal SSB Depletion",0.665779080326276
"39","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.516903816923909
"40","Arrowtooth flounder","OM: Average SSB Depletion",0.626888676991662
"41","Cod","Average Catch",57877.9982236258
"42","Cod","Catch IAV",0.305618836765468
"43","Cod","P(Closed)",0.0456349206349206
"44","Cod","Avg SSB relative bias",-0.584552799451005
"45","Cod","Avg terminal SSB relative bias",0.022904583763773
"46","Cod","Avg SSB Relative MSE",0.590879582564614
"47","Cod","Avg terminal SSB Relative MSE",0.0536418845128741
"48","Cod","EM: P(Fy > Flimit)",0.00777777777777778
"49","Cod","EM: P(SSB < SSBlimit)",0.0332539682539683
"50","Cod","OM: P(Fy > Flimit)",0.0177777777777778
"51","Cod","OM: P(SSB < SSBlimit)",0
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0152380952380952
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0352380952380952
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0332539682539683
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"56","Cod","OM: Terminal B",811836.01326869
"57","Cod","OM: Terminal SSB",334055.057703582
"58","Cod","OM: Terminal SSB Depletion",0.886318527990723
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.525062987245453
"60","Cod","OM: Average SSB Depletion",0.778852274783706
