"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"17","GOA","Fix M","HCR 1a (NPFMC)","0","0","0.15","0.15","0.01","0.02"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.14","0.15","0.01","0.02"
"19",NA,NA,"HCR 2a (PFMC)","0","0","0.16","0.16","0.01","0.01"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0.15","0.16","0.01","0.01"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0.2","0.19","0.01","0.02"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0.18","0.18","0.01","0.01"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0.18","0.19","0.01","0.01"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0.17","0.18","0.01","0.01"
"25",NA,"Est M","HCR 1a (NPFMC)","0.02","0.01","0","0.01","0.01","0.01"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.01","0.01","0.01","0.02","0.01"
"27",NA,NA,"HCR 2a (PFMC)","0.02","0.01","0.01","0.02","0.02","0.01"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.01","0.01","0.02","0.02","0.01"
"29",NA,NA,"HCR 3a (SESSF)","0.01","0.01","0.01","0.02","0.01","0.01"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.03","0.02","0.01","0.02","0.02","0.02"
"31",NA,NA,"HCR 4 (NEFMC)","0.04","0.03","0.02","0.03","0.03","0.03"
"32",NA,NA,"HCR 5 (Avg F)","0.02","0.01","0","0","0.01","0.01"
