"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",4,9,1,4,4,22,93
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,129
"3",NA,NA,"HCR 2a (PFMC)",6,7,5,7,7,32,99
"4",NA,NA,"HCR 2b (Dynamic PFMC)",10,10,10,10,10,50,144
"5",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,135
"6",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"7",NA,NA,"HCR 4 (NEFMC)",5,7,5,6,6,29,87
"8",NA,NA,"HCR 5 (Avg F)",5,7,7,9,9,37,105
"9",NA,"Est M","HCR 1a (NPFMC)",3,5,1,5,5,19,91
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",8,7,7,7,7,36,120
"11",NA,NA,"HCR 2a (PFMC)",6,7,5,7,7,32,101
"12",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,142
"13",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,135
"14",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"15",NA,NA,"HCR 4 (NEFMC)",7,7,5,6,6,31,93
"16",NA,NA,"HCR 5 (Avg F)",6,10,10,10,10,46,121
"17","SS est M","Fix M","HCR 1a (NPFMC)",8,9,3,7,7,34,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",10,9,9,10,9,47,NA
"19",NA,NA,"HCR 2a (PFMC)",6,7,5,7,7,32,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,NA
"21",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"23",NA,NA,"HCR 4 (NEFMC)",6,7,5,6,6,30,NA
"24",NA,NA,"HCR 5 (Avg F)",6,7,7,9,9,38,NA
"25",NA,"Est M","HCR 1a (NPFMC)",9,9,3,7,7,35,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"27",NA,NA,"HCR 2a (PFMC)",6,7,5,7,7,32,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",10,10,10,10,10,50,NA
"29",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"31",NA,NA,"HCR 4 (NEFMC)",7,7,5,5,6,30,NA
"32",NA,NA,"HCR 5 (Avg F)",5,10,10,10,10,45,NA
"33","MS","Fix M","HCR 1a (NPFMC)",9,7,7,7,7,37,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",9,7,7,7,7,37,NA
"35",NA,NA,"HCR 2a (PFMC)",7,7,7,7,7,35,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",9,10,10,10,10,49,NA
"37",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"39",NA,NA,"HCR 4 (NEFMC)",7,6,5,5,5,28,NA
"40",NA,NA,"HCR 5 (Avg F)",6,6,6,6,6,30,NA
"41",NA,"Est M","HCR 1a (NPFMC)",9,7,7,7,7,37,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",11,7,7,7,7,39,NA
"43",NA,NA,"HCR 2a (PFMC)",7,7,8,8,7,37,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",9,10,9,9,10,47,NA
"45",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"47",NA,NA,"HCR 4 (NEFMC)",9,6,5,6,6,32,NA
"48",NA,NA,"HCR 5 (Avg F)",6,6,6,6,6,30,NA
