"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",1,1,0,0,0,2,31
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",5,5,5,6,5,26,85
"3",NA,NA,"HCR 2a (PFMC)",4,4,3,4,4,19,71
"4",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,9,8,8,41,117
"5",NA,NA,"HCR 3a (SESSF)",5,7,4,4,5,25,94
"6",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,131
"7",NA,NA,"HCR 4 (NEFMC)",1,1,1,1,1,5,38
"8",NA,NA,"HCR 5 (Avg F)",6,7,6,6,6,31,99
"9",NA,"Est M","HCR 1a (NPFMC)",0,0,0,0,0,0,13
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",3,3,1,3,3,13,46
"11",NA,NA,"HCR 2a (PFMC)",3,2,2,2,2,11,36
"12",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,2,4,18,52
"13",NA,NA,"HCR 3a (SESSF)",3,2,2,2,3,12,47
"14",NA,NA,"HCR 3b (Dynamic SESSF)",7,5,5,7,5,29,92
"15",NA,NA,"HCR 4 (NEFMC)",2,2,2,2,2,10,35
"16",NA,NA,"HCR 5 (Avg F)",7,8,7,7,8,37,119
"17","SS est M","Fix M","HCR 1a (NPFMC)",1,1,0,0,1,3,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",6,5,6,6,5,28,NA
"19",NA,NA,"HCR 2a (PFMC)",2,2,2,2,2,10,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",7,6,8,6,6,33,NA
"21",NA,NA,"HCR 3a (SESSF)",5,7,5,5,5,27,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"23",NA,NA,"HCR 4 (NEFMC)",2,2,2,2,2,10,NA
"24",NA,NA,"HCR 5 (Avg F)",6,7,6,6,6,31,NA
"25",NA,"Est M","HCR 1a (NPFMC)",0,1,0,0,0,1,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",3,5,5,3,3,19,NA
"27",NA,NA,"HCR 2a (PFMC)",2,2,2,2,2,10,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",3,4,4,4,4,19,NA
"29",NA,NA,"HCR 3a (SESSF)",5,3,2,2,2,14,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,5,4,5,5,28,NA
"31",NA,NA,"HCR 4 (NEFMC)",1,1,1,1,1,5,NA
"32",NA,NA,"HCR 5 (Avg F)",9,10,7,10,9,45,NA
"33","MS","Fix M","HCR 1a (NPFMC)",7,4,6,2,7,26,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",7,5,7,5,7,31,NA
"35",NA,NA,"HCR 2a (PFMC)",10,8,8,6,10,42,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,7,9,9,43,NA
"37",NA,NA,"HCR 3a (SESSF)",9,9,9,6,9,42,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",9,7,9,7,9,41,NA
"39",NA,NA,"HCR 4 (NEFMC)",4,3,5,4,7,23,NA
"40",NA,NA,"HCR 5 (Avg F)",8,7,8,6,8,37,NA
"41",NA,"Est M","HCR 1a (NPFMC)",3,2,2,2,3,12,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",4,2,2,1,5,14,NA
"43",NA,NA,"HCR 2a (PFMC)",3,3,3,3,3,15,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,3,3,3,15,NA
"45",NA,NA,"HCR 3a (SESSF)",4,4,4,4,5,21,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",7,7,7,7,7,35,NA
"47",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,20,NA
"48",NA,NA,"HCR 5 (Avg F)",8,7,8,6,8,37,NA
