"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",6,8,6,8,6,34,114
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,120
"3",NA,NA,"HCR 2a (PFMC)",8,8,8,8,8,40,114
"4",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,8,8,8,40,114
"5",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,120
"6",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,120
"7",NA,NA,"HCR 4 (NEFMC)",4,4,1,4,1,14,66
"8",NA,NA,"HCR 5 (Avg F)",8,8,8,8,8,40,127
"9",NA,"Est M","HCR 1a (NPFMC)",6,6,6,6,6,30,104
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",6,6,6,6,6,30,110
"11",NA,NA,"HCR 2a (PFMC)",8,8,8,8,8,40,99
"12",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,8,8,8,40,104
"13",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,120
"14",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,120
"15",NA,NA,"HCR 4 (NEFMC)",4,4,2,4,1,15,53
"16",NA,NA,"HCR 5 (Avg F)",9,9,9,9,9,45,128
"17","SS est M","Fix M","HCR 1a (NPFMC)",8,8,8,8,8,40,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,NA
"19",NA,NA,"HCR 2a (PFMC)",8,8,8,8,8,40,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,8,8,8,40,NA
"21",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"23",NA,NA,"HCR 4 (NEFMC)",6,6,4,6,4,26,NA
"24",NA,NA,"HCR 5 (Avg F)",9,9,9,9,9,45,NA
"25",NA,"Est M","HCR 1a (NPFMC)",6,8,6,8,6,34,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,NA
"27",NA,NA,"HCR 2a (PFMC)",6,6,3,6,4,25,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",6,6,6,6,6,30,NA
"29",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"31",NA,NA,"HCR 4 (NEFMC)",2,4,1,4,1,12,NA
"32",NA,NA,"HCR 5 (Avg F)",8,8,8,8,8,40,NA
"33","MS","Fix M","HCR 1a (NPFMC)",8,8,8,8,8,40,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,NA
"35",NA,NA,"HCR 2a (PFMC)",6,8,6,8,6,34,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",6,8,6,8,6,34,NA
"37",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"39",NA,NA,"HCR 4 (NEFMC)",6,6,4,6,4,26,NA
"40",NA,NA,"HCR 5 (Avg F)",8,9,8,9,8,42,NA
"41",NA,"Est M","HCR 1a (NPFMC)",8,8,8,8,8,40,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,NA
"43",NA,NA,"HCR 2a (PFMC)",6,8,6,8,6,34,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",6,8,6,8,6,34,NA
"45",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"47",NA,NA,"HCR 4 (NEFMC)",6,6,4,6,4,26,NA
"48",NA,NA,"HCR 5 (Avg F)",9,8,9,8,9,43,NA
