"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.41","0.61","0.37","0.45","0.45"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.42","0.43","0.4","0.42","0.42"
"3",NA,NA,"HCR 2a (PFMC)","0.48","0.72","0.42","0.52","0.52"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.49","0.51","0.47","0.49","0.49"
"5",NA,NA,"HCR 3a (SESSF)","0.48","0.72","0.43","0.52","0.52"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.49","0.5","0.47","0.48","0.49"
"7",NA,NA,"HCR 4 (NEFMC)","0.4","0.61","0.35","0.43","0.43"
"8",NA,NA,"HCR 5 (Avg F)","0.62","0.91","0.53","0.66","0.66"
"9",NA,"Est M","HCR 1a (NPFMC)","0.34","0.5","0.3","0.37","0.37"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.34","0.35","0.33","0.34","0.34"
"11",NA,NA,"HCR 2a (PFMC)","0.4","0.59","0.35","0.43","0.43"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.4","0.42","0.39","0.4","0.4"
"13",NA,NA,"HCR 3a (SESSF)","0.39","0.59","0.35","0.42","0.43"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.39","0.41","0.38","0.39","0.39"
"15",NA,NA,"HCR 4 (NEFMC)","0.33","0.5","0.28","0.35","0.35"
"16",NA,NA,"HCR 5 (Avg F)","0.62","0.92","0.54","0.67","0.67"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.61","0.89","0.51","0.64","0.63"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.62","0.63","0.61","0.62","0.62"
"19",NA,NA,"HCR 2a (PFMC)","0.67","0.99","0.56","0.7","0.7"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.69","0.7","0.67","0.69","0.69"
"21",NA,NA,"HCR 3a (SESSF)","0.67","0.98","0.56","0.7","0.7"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.68","0.7","0.67","0.68","0.68"
"23",NA,NA,"HCR 4 (NEFMC)","0.6","0.88","0.5","0.63","0.63"
"24",NA,NA,"HCR 5 (Avg F)","0.77","1.12","0.64","0.8","0.8"
"25",NA,"Est M","HCR 1a (NPFMC)","0.41","0.59","0.35","0.43","0.43"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.41","0.42","0.4","0.41","0.41"
"27",NA,NA,"HCR 2a (PFMC)","0.48","0.7","0.4","0.5","0.5"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.48","0.5","0.47","0.48","0.48"
"29",NA,NA,"HCR 3a (SESSF)","0.48","0.7","0.41","0.5","0.5"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.49","0.46","0.48","0.48"
"31",NA,NA,"HCR 4 (NEFMC)","0.4","0.59","0.33","0.41","0.41"
"32",NA,NA,"HCR 5 (Avg F)","0.77","1.12","0.64","0.8","0.8"
"33","MS","Fix M","HCR 1a (NPFMC)","1.27","1.84","1.05","1.27","1.23"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","1.28","1.86","1.05","1.27","1.24"
"35",NA,NA,"HCR 2a (PFMC)","1.41","1.99","1.17","1.41","1.37"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","1.41","1.99","1.17","1.41","1.37"
"37",NA,NA,"HCR 3a (SESSF)","1.38","1.94","1.14","1.36","1.34"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","1.38","1.94","1.14","1.36","1.34"
"39",NA,NA,"HCR 4 (NEFMC)","1.26","1.84","1.04","1.26","1.22"
"40",NA,NA,"HCR 5 (Avg F)","1.73","2.45","1.43","1.68","1.7"
"41",NA,"Est M","HCR 1a (NPFMC)","1.02","1.5","0.84","1.02","0.98"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","1.02","1.51","0.84","1.02","0.98"
"43",NA,NA,"HCR 2a (PFMC)","1.15","1.67","0.95","1.16","1.11"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","1.15","1.67","0.95","1.16","1.11"
"45",NA,NA,"HCR 3a (SESSF)","1.12","1.62","0.93","1.12","1.09"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","1.12","1.62","0.92","1.11","1.09"
"47",NA,NA,"HCR 4 (NEFMC)","1.01","1.49","0.82","1","0.97"
"48",NA,NA,"HCR 5 (Avg F)","1.73","2.45","1.44","1.68","1.71"
