"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)"," 31,787"," 45,853"," 24,628"," 31,822"," 31,823"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)"," 31,708"," 45,305"," 24,841"," 31,701"," 31,720"
"3",NA,NA,"HCR 2a (PFMC)"," 28,056"," 40,001","21,872"," 28,062"," 28,043"
"4",NA,NA,"HCR 2b (Dynamic PFMC)"," 28,208"," 40,046","22,185"," 28,201"," 28,179"
"5",NA,NA,"HCR 3a (SESSF)"," 26,452"," 38,104"," 20,289"," 26,575"," 26,554"
"6",NA,NA,"HCR 3b (Dynamic SESSF)"," 26,935"," 38,397"," 21,250"," 27,044"," 27,023"
"7",NA,NA,"HCR 4 (NEFMC)"," 32,197"," 45,944"," 25,274"," 32,195"," 32,206"
"8",NA,NA,"HCR 5 (Avg F)"," 24,039"," 33,948"," 18,990"," 24,054"," 24,028"
"9",NA,"Est M","HCR 1a (NPFMC)"," 25,975"," 37,876"," 19,873"," 26,005"," 25,976"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)"," 26,008"," 37,819"," 20,174"," 26,030"," 26,019"
"11",NA,NA,"HCR 2a (PFMC)"," 20,187"," 29,156"," 15,631"," 20,207"," 20,191"
"12",NA,NA,"HCR 2b (Dynamic PFMC)"," 20,041"," 28,779"," 15,671"," 20,047"," 20,048"
"13",NA,NA,"HCR 3a (SESSF)"," 22,870"," 33,258"," 17,394"," 22,819"," 22,938"
"14",NA,NA,"HCR 3b (Dynamic SESSF)"," 21,798"," 31,415"," 17,026"," 21,804"," 21,803"
"15",NA,NA,"HCR 4 (NEFMC)"," 26,511"," 38,266"," 20,628"," 26,488"," 26,478"
"16",NA,NA,"HCR 5 (Avg F)"," 24,453"," 34,920"," 19,204"," 24,446"," 24,403"
"17","SS est M","Fix M","HCR 1a (NPFMC)"," 20,282"," 29,401"," 15,603"," 20,294"," 20,282"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)"," 20,542"," 29,395"," 16,101"," 20,552"," 20,540"
"19",NA,NA,"HCR 2a (PFMC)"," 19,303"," 27,582","15,017"," 19,303"," 19,285"
"20",NA,NA,"HCR 2b (Dynamic PFMC)"," 19,349"," 27,596","15,210"," 19,351"," 19,350"
"21",NA,NA,"HCR 3a (SESSF)"," 18,820"," 27,117","14,373"," 18,851"," 18,847"
"22",NA,NA,"HCR 3b (Dynamic SESSF)"," 18,916"," 26,976"," 14,891"," 18,931"," 18,928"
"23",NA,NA,"HCR 4 (NEFMC)"," 20,624"," 29,470"," 16,178"," 20,616"," 20,624"
"24",NA,NA,"HCR 5 (Avg F)"," 18,345"," 25,960","14,504"," 18,349"," 18,354"
"25",NA,"Est M","HCR 1a (NPFMC)"," 13,757"," 20,077"," 10,095"," 13,763"," 13,747"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)"," 14,747"," 20,928"," 11,595"," 14,724"," 14,760"
"27",NA,NA,"HCR 2a (PFMC)"," 11,976"," 16,818","  9,416"," 11,993"," 11,972"
"28",NA,NA,"HCR 2b (Dynamic PFMC)"," 12,014"," 16,771","  9,561"," 12,032"," 12,015"
"29",NA,NA,"HCR 3a (SESSF)"," 11,627"," 16,628","  8,712"," 11,627"," 11,901"
"30",NA,NA,"HCR 3b (Dynamic SESSF)"," 11,936"," 16,871","  9,415"," 11,933"," 11,932"
"31",NA,NA,"HCR 4 (NEFMC)"," 14,453"," 20,401"," 11,439"," 14,456"," 14,440"
"32",NA,NA,"HCR 5 (Avg F)"," 18,675"," 26,644","14,656"," 18,675"," 18,674"
"33","MS","Fix M","HCR 1a (NPFMC)"," 29,453"," 38,286"," 23,629"," 26,454"," 31,216"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)"," 29,451"," 37,511"," 24,221"," 26,636"," 31,116"
"35",NA,NA,"HCR 2a (PFMC)"," 27,293"," 35,249"," 22,338"," 24,733"," 28,742"
"36",NA,NA,"HCR 2b (Dynamic PFMC)"," 26,748"," 35,210"," 22,468"," 24,822"," 28,762"
"37",NA,NA,"HCR 3a (SESSF)"," 25,304"," 32,641"," 20,546"," 22,691"," 26,836"
"38",NA,NA,"HCR 3b (Dynamic SESSF)"," 24,997"," 32,433"," 20,947"," 22,878"," 26,809"
"39",NA,NA,"HCR 4 (NEFMC)"," 29,671"," 38,129"," 24,441"," 26,818"," 31,343"
"40",NA,NA,"HCR 5 (Avg F)"," 22,420"," 28,386"," 18,670"," 20,135"," 23,893"
"41",NA,"Est M","HCR 1a (NPFMC)"," 22,706"," 29,661"," 18,166"," 20,518"," 23,990"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)"," 22,757"," 29,486"," 18,553"," 20,520"," 24,044"
"43",NA,NA,"HCR 2a (PFMC)"," 18,443"," 23,839"," 15,087"," 16,819"," 19,407"
"44",NA,NA,"HCR 2b (Dynamic PFMC)"," 18,236"," 23,544"," 15,027"," 16,654"," 19,184"
"45",NA,NA,"HCR 3a (SESSF)"," 19,940"," 25,915"," 16,168"," 17,929"," 21,145"
"46",NA,NA,"HCR 3b (Dynamic SESSF)"," 19,225"," 24,722"," 15,842"," 17,349"," 20,320"
"47",NA,NA,"HCR 4 (NEFMC)"," 22,642"," 29,326"," 18,575"," 20,496"," 23,939"
"48",NA,NA,"HCR 5 (Avg F)"," 22,583"," 28,748"," 18,678"," 20,177"," 24,012"
