"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0","0.02","0.02","0.02","0.02"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.01","0.02","0.02"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.04","0.02","0.03"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.01","0.03","0.02","0.02"
"11",NA,NA,"HCR 2a (PFMC)","0.04","0.04","0.04","0.04","0.05"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.06","0.05","0.07","0.06","0.06"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0.33","0.3","0.36","0.33","0.33"
"16",NA,NA,"HCR 5 (Avg F)","0.01","0.01","0.01","0.01","0.01"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"19",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"25",NA,"Est M","HCR 1a (NPFMC)","0.01","0.1","0.12","0.11","0.11"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0.38","0.36","0.4","0.39","0.38"
"32",NA,NA,"HCR 5 (Avg F)","0.02","0.02","0.02","0.02","0.02"
"33","MS","Fix M","HCR 1a (NPFMC)","0.08","0.07","0.07","0.09","0.07"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.06","0.09","0.09","0.07"
"35",NA,NA,"HCR 2a (PFMC)","0.19","0.19","0.18","0.19","0.18"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.2","0.2","0.22","0.23","0.21"
"37",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"39",NA,NA,"HCR 4 (NEFMC)","0.42","0.41","0.44","0.44","0.41"
"40",NA,NA,"HCR 5 (Avg F)","0.01","0.01","0.01","0.01","0.01"
"41",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.02","0.02"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0.02","0.02","0.01"
"43",NA,NA,"HCR 2a (PFMC)","0.01","0.01","0.01","0.02","0.01"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02"
"45",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0.32","0.3","0.33","0.33","0.3"
"48",NA,NA,"HCR 5 (Avg F)","0.29","0.29","0.3","0.31","0.28"
