"","Species","Performance.metric","SS_OM_SS_fixM_Tier3_EM","SS_OM_SS_estM_Tier3_EM","SS_Ricker_OM_SS_fixM_Tier3_EM","SS_Ricker_OM_SS_estM_Tier3_EM","SSM_OM_SS_fixM_Tier3_EM","SSM_OM_SS_estM_Tier3_EM","SSM_Ricker_OM_SS_fixM_Tier3_EM","SSM_Ricker_OM_SS_estM_Tier3_EM","MS_OM_SS_fixM_Tier3_EM","MS_OM_SS_estM_Tier3_EM","MS_Ricker_OM_SS_fixM_Tier3_EM","MS_Ricker_OM_SS_estM_Tier3_EM"
"1","Pollock","Average Catch","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1"
"2","Pollock","Catch IAV","0.34","0.41","0.35","0.39","0.32","0.29","0.33","0.3","0.28","0.39","0.33","0.43"
"3","Pollock","P(Closed)","1","0.97","1","0.99","0.99","1","1","1","1","0.99","1","1"
"4","Pollock","Avg terminal SSB Relative MSE","0.08","0.22","0.08","0.23","0.36","0.1","0.35","0.11","0.01","0.11","0.01","0.14"
"5","Pollock","EM: P(Fy > Flimit)","0","0.04","0","0.04","0","0.01","0","0","0","0.01","0","0.02"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.01","0","0","0","0","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.08","0.67","0.08","0.84","0.7","0.22","0.91","0.31","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.03","0.19","0","0","0.12","0.02","0","0","0","0.06","0","0"
"9","Pollock","OM: Terminal SSB Depletion","0.42","0.32","1.97","1.26","0.33","0.41","1.31","1.71","1.02","0.58","5.44","3.28"
"10","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.42","0.32","0.46","0.3","0.33","0.41","0.36","0.48","0.95","0.54","1.11","0.64"
"11","Cod","Average Catch","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12","Cod","Catch IAV","0.37","0.31","0.31","0.28","0.48","0.23","0.35","0.21","0.35","0.27","0.29","0.25"
"13","Cod","P(Closed)","0.94","0.95","0.95","0.96","0.91","0.92","0.95","0.93","0.94","0.95","0.96","0.96"
"14","Cod","Avg terminal SSB Relative MSE","0.06","0.13","0.05","0.08","0.39","0.07","0.39","0.07","0.01","0.01","0.02","0.01"
"15","Cod","EM: P(Fy > Flimit)","0.01","0","0.01","0","0.09","0","0.09","0","0.02","0","0.02","0"
"16","Cod","EM: P(SSB < SSBlimit)","0.05","0.05","0.03","0.02","0.07","0.04","0.05","0.02","0.05","0.04","0.03","0.01"
"17","Cod","OM: P(Fy > Flimit)","0.03","0","0.02","0","0.91","0.01","0.95","0.01","0","0","0","0"
"18","Cod","OM: P(SSB < SSBlimit)","0.07","0.05","0","0","0.45","0.07","0.11","0.05","0.14","0.08","0.07","0.07"
"19","Cod","OM: Terminal SSB Depletion","0.4","0.48","0.89","0.98","0.22","0.43","0.6","0.98","0.39","0.52","0.87","1.08"
"20","Cod","OM: Terminal SSB Depletion (Dynamic)","0.4","0.48","0.53","0.58","0.22","0.43","0.38","0.62","0.39","0.51","0.51","0.64"
"21","Arrowtooth flounder","Average Catch","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"22","Arrowtooth flounder","Catch IAV","0.08","0.09","0.06","0.06","0.07","0.14","0.05","0.11","0.07","0.12","0.05","0.1"
"23","Arrowtooth flounder","P(Closed)","1","1","1","1","1","1","1","1","1","1","1","1"
"24","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.04","0.05","0.03","0.03","0.38","0.1","0.37","0.1","0.19","0.01","0.17","0.01"
"25","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Arrowtooth flounder","OM: Terminal SSB Depletion","0.4","0.42","0.67","0.69","0.47","0.42","0.72","0.61","0.49","0.46","0.72","0.65"
"30","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.4","0.42","0.52","0.53","0.47","0.42","0.55","0.47","0.49","0.46","0.53","0.48"
