"","Species","Performance.metric","SS_OM__SS_fixM_Tier3_EM","SS_OM__SS_estM_Tier3_EM","SSM_OM__SS_fixM_Tier3_EM","SSM_OM__SS_estM_Tier3_EM","MS_OM__SS_fixM_Tier3_EM","MS_OM__SS_estM_Tier3_EM"
"1","Pollock","Average Catch","151,022","162,808","144,059","134,318","292,140","464,954"
"2","Pollock","Catch IAV"," 21,280"," 24,679"," 18,458"," 15,500"," 23,346"," 64,733"
"3","Pollock","P(Closed)","0.01","0.01","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.00842306791373085","0.0211662133738436","0.0196204508074867","0.00940893421528461","0.0189421906209146","0.0661053692366807"
"5","Pollock","EM: P(Fy > Flimit)","0","0.02","0","0.02","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0.01","0.01","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.14","0.29","0.16","0.07","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.04","0.09","0.05","0.03","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0.01","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.14","0.28","0.16","0.07","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0.08","0.04","0.02","0","0.01"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.37","0.34","0.37","0.4","1.06","0.64"
"27","Cod","Average Catch"," 31,682"," 25,913"," 20,231"," 13,692"," 29,366"," 22,598"
"28","Cod","Catch IAV"," 13,038","  7,018"," 12,820","  2,292"," 10,955","  4,466"
"29","Cod","P(Closed)","0.03","0.02","0.07","0.1","0.05","0.04"
"30","Cod","Avg terminal SSB Relative MSE","0.00615661797104892","0.0230968366589021","0.156722050546845","0.00561406306124693","0.0267713004148447","0.0088365751754725"
"31","Cod","EM: P(Fy > Flimit)","0.02","0","0.1","0","0.04","0"
"32","Cod","EM: P(SSB < SSBlimit)","0.05","0.04","0.08","0.1","0.05","0.05"
"33","Cod","OM: P(Fy > Flimit)","0.03","0","0.63","0.17","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.07","0.04","0.52","0.1","0.16","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02","0","0.04","0","0.04","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03","0","0.57","0.17","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0.01","0.44","0","0.11","0.03"
"39","Cod","OM: Terminal SSB/SSBtarget","0.37","0.46","0.2","0.41","0.36","0.5"
"14","Arrowtooth flounder","Average Catch"," 85,244"," 84,778"," 98,321","108,316","101,153","109,446"
"15","Arrowtooth flounder","Catch IAV","    517","  1,776","    503","  1,508","    478","  1,320"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.0025515549811486","0.00324166124065759","0.133725826060764","0.0140554207380256","0.165661263967905","0.0161640987951892"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.42","0.42","0.48","0.43","0.5","0.46"
