"","OM","EM","Species","Performance.metric","Value"
"1","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Average Catch","2,165,820"
"2","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Catch IAV","   54,847"
"3","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","P(Closed)","0"
"4","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0"
"5","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"6","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"7","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0"
"8","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.01"
"9","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"10","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"11","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"12","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01"
"13","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","0.41"
"14","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","  149,397"
"15","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","    1,663"
"16","SS_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","0"
"17","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0"
"18","SS_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0"
"19","SS_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0"
"20","SS_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0"
"21","SS_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0"
"22","SS_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
