"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM","SS_OM__SS_estM_dynamicTier3_EM","SSM_OM__SS_fixM_dynamicTier3_EM","SSM_OM__SS_estM_dynamicTier3_EM","MS_OM__SS_fixM_dynamicTier3_EM","MS_OM__SS_estM_dynamicTier3_EM"
"1","Pollock","Average Catch","2,110,923","2,366,413","2,468,792","3,859,277","2,899,793","3,587,594"
"2","Pollock","Catch IAV","   69,835","  167,413","   61,801","  257,301","  123,710","  342,549"
"3","Pollock","% Years closed","0","0","0","0","0","0.21"
"4","Pollock","Avg terminal SSB MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0.02"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"7","Pollock","OM: P(Fy > Flimit)","0","0.38","0","0.51","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0.05","0","0.01","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0.02"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.38","0","0.51","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.05","0","0.01","0","0"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.41","0.34","0.61","0.41","1.28","1.02"
"14","Cod","Average Catch","  144,843","  148,197","  145,474","  143,535","  153,433","  158,613"
"15","Cod","Catch IAV","    2,356","    2,524","    2,221","    2,177","    2,805","    2,892"
"16","Cod","% Years closed","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0.32","0.32","0.32","0.32","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.32","0.32","0.32","0.32","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB/SSBtarget","0.4","0.39","0.39","0.4","0.67","0.68"
"27","Arrowtooth flounder","Average Catch","   32,741","   33,628","   37,754","   47,450","   35,145","   36,889"
"28","Arrowtooth flounder","Catch IAV","      222","      265","      344","      657","      212","      245"
"29","Arrowtooth flounder","% Years closed","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0.52","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0.52","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.43","0.42","0.54","0.42","0.52","0.52"
