"","Species","Performance.metric","SS_OM__SS_fixM_Tier1_EM","SS_OM__SS_estM_Tier1_EM","SSM_OM__SS_fixM_Tier1_EM","SSM_OM__SS_estM_Tier1_EM","MS_OM__SS_fixM_Tier1_EM","MS_OM__SS_estM_Tier1_EM"
"1","Pollock","Average Catch","131,924","150,078","126,856","121,264","222,387","385,843"
"2","Pollock","Catch IAV"," 14,988"," 19,317"," 13,064"," 12,086"," 14,720"," 43,896"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.00939299432854318","0.0459212340898205","0.0214990885182958","0.00953565420868474","0.0371827197603793","0.0752335889842525"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0.03","0.01","0.01","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.03","0.01","0.01","0","0"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.44","0.38","0.43","0.45","1.11","0.7"
"27","Cod","Average Catch"," 26,347"," 22,812"," 18,767"," 11,577"," 25,235"," 19,874"
"28","Cod","Catch IAV","  7,030","  4,983","  6,110","  1,587","  5,700","  3,057"
"29","Cod","P(Closed)","0","0","0","0.1","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0.00246183145212634","0.0205779851679726","0.167919439062256","0.0141398533377885","0.0289230415236988","0.00648635275750726"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.02","0.1","0.01","0"
"33","Cod","OM: P(Fy > Flimit)","0","0","0.01","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.03","0","0.23","0.1","0.09","0.07"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0.01","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0","0.21","0","0.09","0.07"
"39","Cod","OM: Terminal SSB/SSBtarget","0.45","0.51","0.25","0.48","0.43","0.55"
"14","Arrowtooth flounder","Average Catch"," 74,288"," 74,178"," 83,643"," 93,926"," 85,128"," 93,372"
"15","Arrowtooth flounder","Catch IAV","    215","    732","    237","    611","    231","    556"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.00139172431398331","0.0015176900132549","0.123517425570165","0.00841176350045049","0.15118085009565","0.00952418079007829"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.49","0.49","0.55","0.5","0.57","0.53"
