"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM","SS_OM__SS_estM_Fspr_EM","SSM_OM__SS_fixM_Fspr_EM","SSM_OM__SS_estM_Fspr_EM","MS_OM__SS_fixM_Fspr_EM","MS_OM__SS_estM_Fspr_EM"
"1","Pollock","Average Catch","1,299,130","1,336,685","1,354,769","1,372,260","1,619,721","1,427,377"
"2","Pollock","Catch IAV","   10,315","   10,994","   11,152","   11,884","   24,566","   21,885"
"3","Pollock","% Years closed","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB MSE","0.00023656813125565","0.0492515933504772","0.131607583563077","0.00224963373769388","0.00966309978381451","0.086310116049996"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.63","0.62","0.77","0.77","1.58","1.52"
"14","Cod","Average Catch","  103,967","   94,800","  108,594","   92,973","  105,203","   83,368"
"15","Cod","Catch IAV","      785","      643","      802","      597","    1,003","      664"
"16","Cod","% Years closed","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB MSE","0.000490476390062234","0.000546608289483623","0.000444152018212564","0.00039526255435543","0.000390357323716271","0.000376387249673995"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB/SSBtarget","0.56","0.6","0.54","0.6","0.84","0.93"
"27","Arrowtooth flounder","Average Catch","   30,023","   28,601","   32,619","   31,062","   31,438","   26,551"
"28","Arrowtooth flounder","Catch IAV","      148","      120","      212","      119","      157","       90"
"29","Arrowtooth flounder","% Years closed","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB MSE","0.000168143053730947","0.000177485007343615","0.00283050417344342","0.000244850573371468","0.000175962071913421","0.000157247576723306"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.48","0.51","0.6","0.62","0.54","0.63"
