"","Species","Performance.metric","SS_OM__SS_estM_Cat1_EM_AllDown","SS_OM__SS_estM_dynamicCat1_EM_AllDown","SSM_OM__SS_estM_Cat1_EM_AllDown","SSM_OM__SS_estM_dynamicCat1_EM_AllDown","MS_OM__SS_estM_Cat1_EM_AllDown","MS_OM__SS_estM_dynamicCat1_EM_AllDown"
"1","Pollock","Average Catch","119,273","119,942","100,392"," 98,974","389,274","390,304"
"2","Pollock","Catch IAV"," 12,104"," 10,683","  8,382","  7,054"," 37,357"," 36,899"
"3","Pollock","P(Closed)","1","1","1","1","1","1"
"4","Pollock","Avg terminal SSB Relative MSE","0.08","0.07","0.02","0.02","0.15","0.14"
"5","Pollock","EM: P(Fy > Flimit)","0","0.01","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0.08","0","0.06","0","0.01","0"
"7","Pollock","OM: P(Fy > Flimit)","0.9","0.96","0.44","0.45","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.19","0.05","0.1","0","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.89","0.96","0.44","0.45","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01","0","0.02","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.12","0.05","0.06","0","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.37","0.37","0.43","0.43","0.78","0.78"
"27","Cod","Average Catch"," 15,631"," 15,671","  9,416","  9,561"," 15,087"," 15,027"
"28","Cod","Catch IAV","  2,874","  2,551","    901","    753","  1,950","  1,765"
"29","Cod","P(Closed)","1","1","1","1","1","1"
"30","Cod","Avg terminal SSB Relative MSE","0.08","0.08","0.01","0.01","0.04","0.04"
"31","Cod","EM: P(Fy > Flimit)","0.04","0.07","0","0","0.01","0.02"
"32","Cod","EM: P(SSB < SSBlimit)","0.08","0","0.11","0.07","0.09","0.02"
"33","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.06","0","0.1","0.07","0","0"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.04","0.07","0","0","0.01","0.02"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.03","0","0.01","0","0.09","0.02"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Cod","OM: Terminal SSB Depletion","0.55","0.6","0.47","0.5","0.59","0.59"
"14","Arrowtooth flounder","Average Catch"," 80,542"," 80,568","103,549","103,701","106,121","106,199"
"15","Arrowtooth flounder","Catch IAV","  3,433","  3,430","  3,482","  3,469","  3,054","  3,049"
"16","Arrowtooth flounder","P(Closed)","1","1","1","1","1","1"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.02","0.02","0.02","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0.13","0.13","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0.02","0.02"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.13","0.13","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0.02","0.02"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.34","0.36","0.34","0.35","0.36","0.36"
