"","Species","Performance.metric","SS_OM__SS_estM_Tier1_EM_AllDown","SS_OM__SS_estM_dynamicTier1_EM_AllDown","SSM_OM__SS_estM_Tier1_EM_AllDown","SSM_OM__SS_estM_dynamicTier1_EM_AllDown","MS_OM__SS_estM_Tier1_EM_AllDown","MS_OM__SS_estM_dynamicTier1_EM_AllDown"
"1","Pollock","Average Catch","115,677","120,918","100,744","102,810","339,293","344,018"
"2","Pollock","Catch IAV"," 19,052"," 11,868"," 14,526","  8,771"," 40,519"," 35,347"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.05","0.03","0.03","0.01","0.08","0.09"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0.01","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0","0.02","0","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0","0.02","0","0","0.02"
"13","Pollock","OM: Terminal SSB Depletion","0.38","0.36","0.43","0.42","0.67","0.66"
"27","Cod","Average Catch"," 17,394"," 17,026","  8,712","  9,415"," 16,168"," 15,842"
"28","Cod","Catch IAV","  5,055","  3,042","  2,251","  1,038","  3,208","  1,987"
"29","Cod","P(Closed)","0","0","0.1","0.07","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0.03","0.04","0.02","0.01","0.01","0.02"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.11","0.07","0","0"
"33","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.1","0.07","0","0"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0.01","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Cod","OM: Terminal SSB Depletion","0.51","0.57","0.48","0.49","0.53","0.53"
"14","Arrowtooth flounder","Average Catch"," 63,212"," 63,710"," 78,417"," 79,300"," 79,230"," 79,633"
"15","Arrowtooth flounder","Catch IAV","    951","    842","    949","    705","    754","    631"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.01","0.01","0.01","0.01"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.48","0.5","0.48","0.5","0.5","0.5"
