"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_AllDown","SS_OM__SS_estM_Fspr_EM_AllDown","SSM_OM__SS_fixM_Fspr_EM_AllDown","SSM_OM__SS_estM_Fspr_EM_AllDown","MS_OM__SS_fixM_Fspr_EM_AllDown","MS_OM__SS_estM_Fspr_EM_AllDown"
"1","Pollock","Average Catch","124,716","141,241","119,016","121,531","263,207","437,900"
"2","Pollock","Catch IAV"," 13,853"," 17,446"," 12,597"," 12,799"," 19,142"," 53,996"
"3","Pollock","P(Closed)","1","1","1","1","1","1"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.01","0.01","0.02","0.07"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0.14","0.22","0.13","0.17","0","0.03"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.12","0.32","0.13","0.16","0","0.08"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.04","0.02","0.03","0.05","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0.12","0.04","0.05","0","0.04"
"13","Pollock","OM: Terminal SSB Depletion","0.34","0.28","0.34","0.33","0.98","0.55"
"27","Cod","Average Catch"," 25,274"," 20,318"," 16,180"," 11,835"," 24,569"," 18,467"
"28","Cod","Catch IAV","  7,790","  4,252","  6,465","  1,235","  6,893","  2,804"
"29","Cod","P(Closed)","1","1","1","1","1","1"
"30","Cod","Avg terminal SSB Relative MSE","0","0.03","0.11","0","0.02","0.02"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0.11","0.08","0.23","0.12","0.09","0.06"
"33","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.11","0.06","0.64","0.1","0.23","0.04"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.06","0","0","0.98","0.02"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.03","0.02","0","0.02","0","0.03"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.02","0","0.41","0","0.14","0"
"39","Cod","OM: Terminal SSB Depletion","0.35","0.45","0.18","0.37","0.34","0.49"
"14","Arrowtooth flounder","Average Catch"," 74,000"," 75,199"," 84,021"," 94,611"," 87,075"," 95,579"
"15","Arrowtooth flounder","Catch IAV","    717","  1,905","    699","  1,753","    659","  1,536"
"16","Arrowtooth flounder","P(Closed)","1","1","1","1","1","1"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.17","0.01"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.4","0.39","0.45","0.39","0.46","0.42"
