"","Species","Performance.metric","SS_OM__SS_fixM_AvgF_EM_AllDown","SS_OM__SS_estM_AvgF_EM_AllDown","SSM_OM__SS_fixM_AvgF_EM_AllDown","SSM_OM__SS_estM_AvgF_EM_AllDown","MS_OM__SS_fixM_AvgF_EM_AllDown","MS_OM__SS_estM_AvgF_EM_AllDown"
"1","Pollock","Average Catch","100,616","103,695","96,580","89,862","113,114","123,060"
"2","Pollock","Catch IAV","  9,112","  8,459"," 7,997"," 6,516","  7,023","  8,048"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.39","0.02","0.04","0.09","0.18"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0.01","0","0.01","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.04","0.06","0.05","0.02","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04","0.06","0.04","0.02","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.42","0.41","0.42","0.45","0.86","0.84"
"27","Cod","Average Catch"," 18,990"," 19,204","14,504","14,656"," 18,670"," 18,678"
"28","Cod","Catch IAV","  3,658","  3,838"," 2,703"," 2,929","  2,802","  3,222"
"29","Cod","P(Closed)","0","0","0","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0.03","0.18","0","0.04","0.01"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0.04","0.06","0.33","0.04","0.07"
"33","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.01","0.01","0.21","0.26","0.08","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.01","0","0.02","0.01","0.3"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0.76","0.05","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0.04","0.05","0.11","0.02","0.03"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0","0.21","0.04","0.07","0.04"
"39","Cod","OM: Terminal SSB Depletion","0.46","0.46","0.27","0.27","0.41","0.41"
"14","Arrowtooth flounder","Average Catch"," 18,736"," 20,781","17,875","18,798"," 18,338"," 19,336"
"15","Arrowtooth flounder","Catch IAV","      8","      7","    13","    10","     13","     10"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.09","0","0.11","0"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.76","0.75","0.77","0.76","0.81","0.81"
