"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch","153,278","164,475","146,044","135,389","235,468","369,720"
"2","Pollock","Catch IAV"," 19,069"," 22,012"," 16,582"," 14,061"," 20,282"," 57,740"
"3","Pollock","P(Closed)","1","1","1","1","1","1"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.04"
"5","Pollock","EM: P(Fy > Flimit)","0.02","0.1","0.02","0.08","0.02","0.12"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.66","0.91","0.69","0.24","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.08"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0.03","0.02","0.12"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.64","0.81","0.67","0.19","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0.08"
"13","Pollock","OM: Terminal SSB Depletion","0.37","0.33","0.36","0.4","0.94","0.57"
"27","Cod","Average Catch"," 31,701"," 26,030"," 20,552"," 14,724"," 26,636"," 20,520"
"28","Cod","Catch IAV"," 11,493","  6,605","  9,322","  1,711","  9,276","  3,795"
"29","Cod","P(Closed)","1","1","0.97","1","1","1"
"30","Cod","Avg terminal SSB Relative MSE","0","0.02","0.12","0","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.06","0.02","0.17","0.02","0.09","0.02"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.05","0","0","0"
"33","Cod","OM: P(Fy > Flimit)","0.12","0","1","0.05","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.29","0.02","0.17","0.01"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0","0.09","0.02"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.06","0","0.83","0.03","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0.25","0.02","0.17","0.01"
"39","Cod","OM: Terminal SSB Depletion","0.41","0.51","0.2","0.42","0.37","0.51"
"14","Arrowtooth flounder","Average Catch","111,370","110,170","129,894","144,666","130,232","141,704"
"15","Arrowtooth flounder","Catch IAV","    447","  1,401","    504","  1,224","    496","  1,141"
"16","Arrowtooth flounder","P(Closed)","1","1","1","1","1","1"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.16","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.46","0.46","0.52","0.46","0.6","0.56"
