"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SS_OM__SS_estM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_estM_dynamicTier3_EM_ATFRdown","MS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","MS_OM__SS_estM_dynamicTier3_EM_ATFRdown"
"1","Pollock","Average Catch","2,110,537","2,364,300","2,468,098","3,859,538","2,970,337","3,667,759"
"2","Pollock","Catch IAV","   66,737","  160,652","   59,479","  246,740","  116,381","  447,410"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0.04"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0.97","0","0.01","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0.04"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.97","0","0.01","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"13","Pollock","OM: Terminal SSB Depletion","0.42","0.34","0.62","0.41","1.24","0.98"
"14","Cod","Average Catch","  144,675","  148,047","  145,238","  143,355","  153,816","  158,944"
"15","Cod","Catch IAV","    2,344","    2,506","    2,201","    2,137","    2,779","    2,904"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.4","0.39","0.39","0.4","0.66","0.67"
"27","Arrowtooth flounder","Average Catch","   27,445","   28,161","   31,051","   38,995","   29,501","   30,904"
"28","Arrowtooth flounder","Catch IAV","      225","      273","      307","      664","      205","      246"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.43","0.41","0.55","0.41","0.48","0.47"
