"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_ATFRdown","SS_OM__SS_estM_Fspr_EM_ATFRdown","SSM_OM__SS_fixM_Fspr_EM_ATFRdown","SSM_OM__SS_estM_Fspr_EM_ATFRdown","MS_OM__SS_fixM_Fspr_EM_ATFRdown","MS_OM__SS_estM_Fspr_EM_ATFRdown"
"1","Pollock","Average Catch","156,535","167,094","148,772","138,780","333,956","540,160"
"2","Pollock","Catch IAV"," 16,699"," 18,051"," 14,329"," 11,636"," 25,865"," 65,284"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.07"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0.04","0.06","0.04","0.04","0","0.01"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.09","0.14","0.09","0.05","0","0.03"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01","0","0","0.25","0.17","0.22"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.34","0.35","0.46","0.13","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0.01","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.05","0.09","0.06","0.02","0","0.02"
"13","Pollock","OM: Terminal SSB Depletion","0.4","0.37","0.4","0.43","1.1","0.66"
"27","Cod","Average Catch"," 32,206"," 26,478"," 20,624"," 14,440"," 31,343"," 23,939"
"28","Cod","Catch IAV","  9,458","  5,494","  6,885","  1,357","  7,572","  3,515"
"29","Cod","P(Closed)","0","0","0","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0.02","0.11","0.01","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0.06","0.05","0.12","0.1","0.06","0.06"
"33","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.03","0","0.43","0","0.14","0.03"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02","0.33","0","0.38","0.41","0.3"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.39","0","0.37","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.05","0.05","0.03","0.1","0","0.03"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.02","0","0.33","0","0.08","0"
"39","Cod","OM: Terminal SSB Depletion","0.43","0.53","0.24","0.5","0.39","0.55"
"14","Arrowtooth flounder","Average Catch"," 73,282"," 73,043"," 83,014"," 91,755"," 85,915"," 93,078"
"15","Arrowtooth flounder","Catch IAV","    557","  1,988","    557","  1,636","    528","  1,451"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.17","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.13","0.22","0.19","0.2","0.12"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.58","0.1","0","0.08","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.39","0.39","0.43","0.38","0.46","0.43"
