"","OM","EM","Species","Performance.metric","Value"
"1","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","Average Catch","  141"
"2","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","Catch IAV","0.32"
"3","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","P(Closed)","1"
"4","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg SSB Relative MSE","0.66232309736635"
"5","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0.35"
"6","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"7","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"8","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0.97"
"9","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.54"
"10","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"11","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","1.95"
"12","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"13","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.54"
"14","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal B","1,113"
"15","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  145"
"16","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","0.31"
"17","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.3"
"18","SSM_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.297824006985657"
"37","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","   20"
"38","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","0.36"
"39","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","0.95"
"40","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.143452734638238"
"41","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.38"
"42","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0.11"
"43","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0.04"
"44","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0.95"
"45","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0.26"
"46","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.04"
"47","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","1.72"
"48","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"49","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.22"
"50","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal B","  167"
"51","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB","   76"
"52","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion","0.21"
"53","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.21"
"54","SSM_OM","SS_fixM_dynamicTier3_EM","Cod","OM: Average SSB Depletion","0.210772732715997"
"55","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","Average Catch","  123"
"56","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","Catch IAV","0.28"
"57","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","P(Closed)","1"
"58","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","Avg SSB Relative MSE","0.681958198990462"
"59","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0.1"
"60","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"61","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"62","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0.25"
"63","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.28"
"64","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01"
"65","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.5"
"66","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"67","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.28"
"68","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal B","1,235"
"69","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  188"
"70","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","0.4"
"71","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.39"
"72","SSM_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.37495209149322"
"91","SSM_OM","SS_estM_dynamicTier3_EM","Cod","Average Catch","   15"
"92","SSM_OM","SS_estM_dynamicTier3_EM","Cod","Catch IAV","0.2"
"93","SSM_OM","SS_estM_dynamicTier3_EM","Cod","P(Closed)","0.95"
"94","SSM_OM","SS_estM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.185122636610019"
"95","SSM_OM","SS_estM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.07"
"96","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0"
"97","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0.02"
"98","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0"
"99","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0.02"
"100","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"101","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.01"
"102","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"103","SSM_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"104","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal B","  249"
"105","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB","  154"
"106","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion","0.43"
"107","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.42"
"108","SSM_OM","SS_estM_dynamicTier3_EM","Cod","OM: Average SSB Depletion","0.414725197055305"
"109","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Average Catch","  289"
"110","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Catch IAV","0.33"
"111","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","P(Closed)","1"
"112","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg SSB Relative MSE","0.678402912872182"
"113","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0.35"
"114","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"115","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"116","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0.96"
"117","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.75"
"118","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"119","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","1.92"
"120","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"121","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.75"
"122","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal B","2,641"
"123","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  342"
"124","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","1.29"
"125","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.36"
"126","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.304844642350945"
"145","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","   43"
"146","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","0.33"
"147","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","0.97"
"148","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.146182416342151"
"149","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.39"
"150","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0.09"
"151","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0.02"
"152","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0.97"
"153","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0.18"
"154","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03"
"155","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","1.78"
"156","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"157","SSM_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.16"
