"","OM","EM","Species","Performance.metric","Value"
"1","SS_OM","SS_fixM_Cat1_EM","Pollock","Average Catch"," 2,033,074"
"2","SS_OM","SS_fixM_Cat1_EM","Pollock","Catch IAV","0.15"
"3","SS_OM","SS_fixM_Cat1_EM","Pollock","P(Closed)","0"
"4","SS_OM","SS_fixM_Cat1_EM","Pollock","Avg terminal SSB Relative MSE","0"
"5","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit)","0.02"
"6","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit)","0.01"
"7","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: P(Fy > Flimit)","0"
"8","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"9","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"10","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"11","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01"
"12","SS_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"13","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal B","15,588,143"
"14","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB"," 3,923,978"
"15","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion","0.68"
"16","SS_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.44"
"17","SS_OM","SS_fixM_Cat1_EM","Cod","Average Catch","   140,617"
"18","SS_OM","SS_fixM_Cat1_EM","Cod","Catch IAV","0.11"
"19","SS_OM","SS_fixM_Cat1_EM","Cod","P(Closed)","0"
"20","SS_OM","SS_fixM_Cat1_EM","Cod","Avg terminal SSB Relative MSE","0"
"21","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit)","0.02"
"22","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit)","0.01"
"23","SS_OM","SS_fixM_Cat1_EM","Cod","OM: P(Fy > Flimit)","0"
"24","SS_OM","SS_fixM_Cat1_EM","Cod","OM: P(SSB < SSBlimit)","0"
"25","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"26","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"27","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01"
"28","SS_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"29","SS_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal B"," 1,239,816"
"30","SS_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB","   262,672"
"31","SS_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion","0.61"
"32","SS_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.44"
"33","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Average Catch","    34,428"
"34","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Catch IAV","0.08"
"35","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","P(Closed)","0"
"36","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0"
"37","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"38","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"39","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"40","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"41","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"42","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"43","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"44","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"45","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal B","   312,684"
"46","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB","   170,132"
"47","SS_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.57"
