"","OM","EM","Species","Performance.metric","Value"
"1","SSM_OM","SS_fixM_Fspr_EM","Pollock","Average Catch"," 1,844"
"2","SSM_OM","SS_fixM_Fspr_EM","Pollock","Catch IAV","0.11"
"3","SSM_OM","SS_fixM_Fspr_EM","Pollock","P(Closed)","1"
"4","SSM_OM","SS_fixM_Fspr_EM","Pollock","Avg SSB Relative MSE","0.648476168341397"
"5","SSM_OM","SS_fixM_Fspr_EM","Pollock","Avg terminal SSB Relative MSE","0.28"
"6","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit)","0"
"7","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"8","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: P(Fy > Flimit)","0"
"9","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"10","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"11","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"12","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"13","SSM_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"14","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal B","26,256"
"15","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB"," 6,992"
"16","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion","0.68"
"17","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.67"
"18","SSM_OM","SS_fixM_Fspr_EM","Pollock","OM: Average SSB Depletion","0.669239666435199"
"19","SSM_OM","SS_fixM_Fspr_EM","Cod","Average Catch","   119"
"20","SSM_OM","SS_fixM_Fspr_EM","Cod","Catch IAV","0.08"
"21","SSM_OM","SS_fixM_Fspr_EM","Cod","P(Closed)","1"
"22","SSM_OM","SS_fixM_Fspr_EM","Cod","Avg SSB Relative MSE","0.578915379477679"
"23","SSM_OM","SS_fixM_Fspr_EM","Cod","Avg terminal SSB Relative MSE","0.02"
"24","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit)","0"
"25","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit)","0"
"26","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: P(Fy > Flimit)","0"
"27","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: P(SSB < SSBlimit)","0"
"28","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"29","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"30","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"31","SSM_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"32","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal B"," 1,355"
"33","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB","   332"
"34","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB Depletion","0.53"
"35","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.53"
"36","SSM_OM","SS_fixM_Fspr_EM","Cod","OM: Average SSB Depletion","0.499503913630594"
"37","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Average Catch","    27"
"38","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Catch IAV","0.07"
"39","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","P(Closed)","1"
"40","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Avg SSB Relative MSE","0.197830426825692"
"41","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.12"
"42","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"43","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"44","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"45","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"46","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"47","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"48","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"49","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"50","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal B","   499"
"51","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB","   248"
