"","OM","EM","Species","Performance.metric","Value"
"1","SS_OM","SS_fixM_AvgF_EM","Pollock","Average Catch","  127"
"2","SS_OM","SS_fixM_AvgF_EM","Pollock","Catch IAV","0.3"
"3","SS_OM","SS_fixM_AvgF_EM","Pollock","P(Closed)","1"
"4","SS_OM","SS_fixM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.753053819315891"
"5","SS_OM","SS_fixM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.01"
"6","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"7","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"8","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"9","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0.04"
"10","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"11","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"12","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"13","SS_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04"
"14","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal B","2,124"
"15","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB","  244"
"16","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","0.51"
"17","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.49"
"18","SS_OM","SS_fixM_AvgF_EM","Pollock","OM: Average SSB Depletion","0.490845314945026"
"37","SS_OM","SS_fixM_AvgF_EM","Cod","Average Catch","   23"
"38","SS_OM","SS_fixM_AvgF_EM","Cod","Catch IAV","0.25"
"39","SS_OM","SS_fixM_AvgF_EM","Cod","P(Closed)","1"
"40","SS_OM","SS_fixM_AvgF_EM","Cod","Avg SSB Relative MSE","0.305197693738927"
"41","SS_OM","SS_fixM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0"
"42","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.07"
"43","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.05"
"44","SS_OM","SS_fixM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.19"
"45","SS_OM","SS_fixM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.1"
"46","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01"
"47","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.13"
"48","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"49","SS_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.06"
"50","SS_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal B","  386"
"51","SS_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB","  176"
"52","SS_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion","0.48"
"53","SS_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.48"
"54","SS_OM","SS_fixM_AvgF_EM","Cod","OM: Average SSB Depletion","0.451290527848657"
"55","SS_OM","SS_estM_AvgF_EM","Pollock","Average Catch","  137"
"56","SS_OM","SS_estM_AvgF_EM","Pollock","Catch IAV","0.3"
"57","SS_OM","SS_estM_AvgF_EM","Pollock","P(Closed)","1"
"58","SS_OM","SS_estM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.65621472579501"
"59","SS_OM","SS_estM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.45"
"60","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"61","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"62","SS_OM","SS_estM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"63","SS_OM","SS_estM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0.08"
"64","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"65","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"66","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"67","SS_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.07"
"68","SS_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal B","2,067"
"69","SS_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB","  224"
"70","SS_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","0.46"
"71","SS_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.45"
"72","SS_OM","SS_estM_AvgF_EM","Pollock","OM: Average SSB Depletion","0.460987000913651"
"91","SS_OM","SS_estM_AvgF_EM","Cod","Average Catch","   23"
"92","SS_OM","SS_estM_AvgF_EM","Cod","Catch IAV","0.25"
"93","SS_OM","SS_estM_AvgF_EM","Cod","P(Closed)","1"
"94","SS_OM","SS_estM_AvgF_EM","Cod","Avg SSB Relative MSE","0.375866195587266"
"95","SS_OM","SS_estM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0.02"
"96","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.25"
"97","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.05"
"98","SS_OM","SS_estM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.12"
"99","SS_OM","SS_estM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.1"
"100","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.15"
"101","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03"
"102","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"103","SS_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.05"
"104","SS_OM","SS_estM_AvgF_EM","Cod","OM: Terminal B","  387"
"105","SS_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB","  177"
"106","SS_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion","0.48"
"107","SS_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.48"
"108","SS_OM","SS_estM_AvgF_EM","Cod","OM: Average SSB Depletion","0.457760003985457"
"109","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Average Catch","  271"
"110","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Catch IAV","0.32"
"111","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","P(Closed)","1"
"112","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.766769817114923"
"113","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.01"
"114","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"115","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"116","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"117","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"118","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"119","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"120","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"121","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"122","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal B","4,962"
"123","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB","  575"
"124","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","2.52"
"125","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.59"
"126","SS_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Average SSB Depletion","2.19793647397725"
"145","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","Average Catch","   48"
"146","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","Catch IAV","0.25"
"147","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","P(Closed)","1"
"148","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","Avg SSB Relative MSE","0.321897062906312"
"149","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0"
"150","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.04"
"151","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.01"
"152","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.12"
"153","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.05"
"154","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01"
"155","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.09"
"156","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"157","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03"
"158","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal B","  872"
"159","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB","  400"
"160","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion","1.06"
"161","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.63"
"162","SS_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Average SSB Depletion","0.925748970665979"
"163","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","Average Catch","  293"
"164","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","Catch IAV","0.32"
"165","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","P(Closed)","1"
"166","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.665796985122819"
"167","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.54"
"168","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"169","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"170","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"171","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"172","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"173","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"174","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"175","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"176","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal B","4,771"
"177","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB","  516"
"178","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","2.26"
"179","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.53"
"180","SS_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: Average SSB Depletion","2.01272973656539"
"199","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","Average Catch","   48"
"200","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","Catch IAV","0.26"
"201","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","P(Closed)","1"
"202","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","Avg SSB Relative MSE","0.378461301335122"
"203","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0.01"
"204","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.2"
"205","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.04"
"206","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.1"
"207","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.05"
"208","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.13"
"209","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03"
"210","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"211","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01"
"212","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal B","  869"
"213","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB","  397"
"214","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion","1.05"
"215","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.62"
"216","SS_Ricker_OM","SS_estM_AvgF_EM","Cod","OM: Average SSB Depletion","0.929448827339358"
"217","SSM_OM","SS_fixM_AvgF_EM","Pollock","Average Catch","  124"
"218","SSM_OM","SS_fixM_AvgF_EM","Pollock","Catch IAV","0.29"
"219","SSM_OM","SS_fixM_AvgF_EM","Pollock","P(Closed)","1"
"220","SSM_OM","SS_fixM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.615988099893118"
"221","SSM_OM","SS_fixM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.18"
"222","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"223","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"224","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"225","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0.04"
"226","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"227","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"228","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"229","SSM_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04"
"230","SSM_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal B","1,214"
